mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.6869943141937256,0.11609436410822464,0.04214787483215332,0.0015613527370372123,0.9,0.1,6,100,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.9}",-37.70487798503461,-31.292514271574653,-34.60196323391376,-34.533118496841006,2.618289110187725,21,-13.286023034933443,-18.12194701172365,-20.445728919535178,-17.28456632206409,2.982309161601819
0.4964722792307536,0.10488342631661271,0.032342751820882164,0.0011028385543587194,0.7,0.1,6,100,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.9}",-37.891091021006375,-31.30508077479684,-34.40849997049559,-34.53489058876627,2.6902123437979615,22,-13.64267255070534,-18.248575205252045,-20.657091192178427,-17.516112982711938,2.9100850961266387
0.51799209912618,0.0746574201032095,0.030682166417439777,0.0009457710600468994,0.7,0.1,6,100,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",-38.20372298537678,-31.067969505048264,-34.33415607393234,-34.5352828547858,2.9166285810260995,23,-13.882144554473,-18.462201188033983,-20.690450651547458,-17.678265464684813,2.8342164574619857
1.6384633382161458,0.234547281439446,0.09146944681803386,0.0040033862414865845,0.8,0.05,6,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.9}",-37.84918526239514,-31.369505465760803,-34.40210187285045,-34.540264200335464,2.647121605099881,24,-11.566104646471565,-16.353808442489967,-18.876249937714906,-15.598721008892147,3.0317402944024088
1.9875766436258953,0.5266692246561918,0.14948749542236328,0.05152351991742829,0.9,0.05,6,300,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",-38.119681452341474,-31.351555937051344,-34.2701837460251,-34.58047371180597,2.771773276541998,25,-11.335511473591328,-16.239532344801376,-18.746814584540513,-15.440619467644405,3.077937598409762
1.9248594443003337,0.33303234145156985,0.1000823179880778,0.001133690753326955,0.9,0.05,6,300,0.7,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.7}",-37.861505701889875,-31.294069433967064,-34.627470589999845,-34.59434857528559,2.681246921888026,26,-11.828919716299442,-16.489316688344335,-18.93924968879708,-15.752495364480287,2.9491668119346457
0.7238425413767496,0.0838418445695786,0.0370481808980306,0.004596526265146471,0.8,0.1,6,100,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.7}",-37.51719759794055,-31.50303711081996,-34.76522515539009,-34.5951532880502,2.4582141107256446,27,-14.238520248040878,-18.711417291335234,-20.917307382985427,-17.955748307453845,2.7784679361565976
1.5432085196177165,0.06731231459511622,0.0724183718363444,0.006914900486561065,0.9,0.05,6,200,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.9}",-38.31377725323967,-31.25130640456936,-34.24400870781489,-34.603030788541304,2.89439645555757,28,-13.355179749391743,-18.101357302215973,-20.40222436884435,-17.286253806817356,2.9341102851684893
1.354719638824463,0.26126477129972375,0.0811923344930013,0.0036721949679729264,0.7,0.05,6,300,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.9}",-38.48043274583731,-31.248119237410194,-34.215354095574575,-34.6479686929407,2.968384096152319,29,-11.684950199823172,-16.480771281065277,-18.88862008371109,-15.68478052153318,2.994262949481202
0.6519940694173177,0.14407872076084074,0.03710047403971354,0.0010648798037947776,0.9,0.1,6,100,0.7,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.7}",-37.98167407775784,-31.248931775914162,-34.73996130289836,-34.65685571885678,2.749258643020331,30,-14.056807224714722,-18.531143617086887,-20.879694777947165,-17.82254853991626,2.830138851547321
